geometry;ID;code_dpt;nom_dpt;nom_reg;num_circ;code_reg
"{""type"":""Polygon"",""coordinates"":[[[-5.420925,40.766592],[-5.497033,40.599071],[-5.59819,40.634807],[-5.665312,40.559346],[-5.752424,40.429813],[-5.725925,40.295464],[-5.781867,40.256685],[-5.8346,40.17533],[-5.936066,40.120125],[-5.985242,40.048479],[-5.927318,39.981231],[-5.903001,39.883613],[-5.929736,39.842638],[-5.947838,39.736182],[-5.876858,39.659405],[-5.894686,39.541994],[-5.950737,39.506497],[-5.976599,39.425937],[-6.021216,39.381595],[-6.051923,39.233981],[-6.011536,39.184504],[-6.042304,39.112463],[-6.015361,39.033956],[-5.890756,39.036832],[-5.828989,39.001838],[-5.756599,39.059368],[-5.62254,39.135837],[-5.552124,39.233442],[-5.501434,39.403705],[-5.408993,39.582625],[-5.422589,39.619821],[-5.346822,39.691597],[-5.192899,39.935464],[-5.150971,40.027228],[-5.071104,40.102079],[-5.059066,40.154438],[-4.979239,40.209585],[-4.960628,40.298898],[-5.011079,40.368671],[-5.071077,40.56805],[-5.111439,40.604857],[-5.200839,40.623211],[-5.394566,40.783228],[-5.420925,40.766592]]]}";ZC001;ZC;GUYANE;GUYANE;1;3
"{""type"":""Polygon"",""coordinates"":[[[-5.420925,40.766592],[-5.731569,41.028563],[-5.807753,41.1046],[-5.886124,41.11499],[-6.007021,41.166331],[-6.139705,41.176553],[-6.376024,41.283412],[-6.45907,41.291709],[-6.481784,41.180955],[-6.572262,41.04899],[-6.67619,40.959298],[-6.759315,40.825553],[-6.782947,40.755798],[-6.772592,40.639444],[-6.745066,40.561867],[-6.766716,40.510908],[-6.73445,40.409891],[-6.727025,40.290114],[-6.689212,40.271756],[-6.706484,40.204484],[-6.607665,40.054052],[-6.556751,40.040683],[-6.509436,39.940739],[-6.467643,39.921572],[-6.492668,39.798899],[-6.524657,39.725114],[-6.615639,39.632601],[-6.588932,39.547885],[-6.595317,39.445233],[-6.746344,39.176808],[-6.836247,39.119546],[-6.782046,39.031528],[-6.694266,38.993234],[-6.547473,38.967206],[-6.520641,39.019094],[-6.442721,39.034887],[-6.436256,39.073209],[-6.304913,39.09362],[-6.189375,39.056497],[-6.134983,39.057487],[-6.042304,39.112463],[-6.011536,39.184504],[-6.051923,39.233981],[-6.021216,39.381595],[-5.976599,39.425937],[-5.950737,39.506497],[-5.894686,39.541994],[-5.876858,39.659405],[-5.947838,39.736182],[-5.929736,39.842638],[-5.903001,39.883613],[-5.927318,39.981231],[-5.985242,40.048479],[-5.936066,40.120125],[-5.8346,40.17533],[-5.781867,40.256685],[-5.725925,40.295464],[-5.752424,40.429813],[-5.665312,40.559346],[-5.59819,40.634807],[-5.497033,40.599071],[-5.420925,40.766592]]]}";ZC002;ZC;GUYANE;GUYANE;2;3
"{""type"":""Polygon"",""coordinates"":[[[5.335451,40.976123],[5.196146,40.881782],[5.122508,40.899602],[5.080512,40.816347],[5.080372,40.70844],[5.009027,40.659954],[5.048812,40.601908],[5.24599,40.510032],[5.366578,40.499944],[5.456917,40.404862],[5.564835,40.484532],[5.51834,40.528575],[5.556489,40.66761],[5.498319,40.728222],[5.408804,40.757638],[5.413719,40.821653],[5.335451,40.976123]]]}";ZD002;ZD;LA REUNION;LA REUNION;2;4
"{""type"":""Polygon"",""coordinates"":[[[6.131747,40.851443],[6.03308,40.864087],[5.907124,40.785518],[5.800684,40.692888],[5.676939,40.706249],[5.576574,40.681055],[5.556489,40.66761],[5.51834,40.528575],[5.564835,40.484532],[5.667885,40.389017],[5.674702,40.344564],[5.867993,40.344025],[5.896616,40.259378],[6.012468,40.20174],[6.12058,40.084156],[6.155738,39.992845],[6.143424,39.911197],[6.188348,39.763218],[6.176915,39.73076],[6.385327,39.769682],[6.456822,39.844402],[6.440599,40.025896],[6.472351,40.15097],[6.52374,40.230112],[6.498948,40.334393],[6.389096,40.386052],[6.193079,40.63866],[6.177389,40.762229],[6.131747,40.851443]]]}";ZD005;ZD;LA REUNION;LA REUNION;5;4
"{""type"":""Polygon"",""coordinates"":[[[5.576574,40.681055],[5.676939,40.706249],[5.800684,40.692888],[5.907124,40.785518],[6.03308,40.864087],[6.131747,40.851443],[6.037255,40.926528],[5.897484,40.975776],[5.62484,41.002595],[5.630926,40.939734],[5.576574,40.681055]]]}";ZD006;ZD;LA REUNION;LA REUNION;6;4
"{""type"":""Polygon"",""coordinates"":[[[5.009027,40.659954],[4.930018,40.616574],[4.932221,40.507881],[5.019968,40.42235],[5.104091,40.289261],[5.091569,40.179819],[5.122694,40.111748],[5.218702,40.033903],[5.243383,39.978545],[5.408167,39.920106],[5.450974,39.952423],[5.461907,40.054491],[5.429551,40.094879],[5.492795,40.185159],[5.409128,40.348463],[5.456917,40.404862],[5.366578,40.499944],[5.24599,40.510032],[5.048812,40.601908],[5.009027,40.659954]]]}";ZD007;ZD;LA REUNION;LA REUNION;7;4
"{""type"":""Polygon"",""coordinates"":[[[-6.563224,42.645734],[-6.294806,42.673256],[-6.307918,42.851981],[-6.6216,43.084423],[-6.523144,42.828008],[-6.563224,42.645734]]]}";ZB003;ZB;MARTINIQUE;MARTINIQUE;3;2
"{""type"":""Polygon"",""coordinates"":[[[5.409517,39.919247],[5.551857,39.824902],[5.750896,39.76576],[5.88235,39.742624],[5.937593,39.70566],[6.0407,39.700929],[6.176915,39.73076],[6.188348,39.763218],[6.143424,39.911197],[6.155738,39.992845],[6.12058,40.084156],[6.012468,40.20174],[5.929514,40.107285],[5.921287,40.000417],[5.744398,39.893961],[5.604596,40.046896],[5.542029,39.965427],[5.409517,39.919247]]]}";ZD004;ZD;LA REUNION;LA REUNION;4;4
"{""type"":""Polygon"",""coordinates"":[[[5.564835,40.484532],[5.456917,40.404862],[5.409128,40.348463],[5.492795,40.185159],[5.429551,40.094879],[5.461907,40.054491],[5.450974,39.952423],[5.408167,39.920106],[5.409517,39.919247],[5.542029,39.965427],[5.604596,40.046896],[5.744398,39.893961],[5.921287,40.000417],[5.929514,40.107285],[6.012468,40.20174],[5.896616,40.259378],[5.867993,40.344025],[5.674702,40.344564],[5.667885,40.389017],[5.564835,40.484532]]]}";ZD003;ZD;LA REUNION;LA REUNION;3;4
"{""type"":""MultiPolygon"",""coordinates"":[[[[10.416227,40.095645],[10.438722,40.025968],[10.528676,39.90724],[10.636738,39.923406],[10.639516,40.029786],[10.543766,40.054627],[10.518126,40.105495],[10.416227,40.095645]]],[[[9.862986,40.41935],[9.965696,40.302206],[10.038494,40.29928],[10.092739,40.23472],[10.146133,40.247835],[10.119524,40.394604],[10.059345,40.45124],[10.049276,40.527765],[10.004103,40.586705],[9.883822,40.550108],[9.975358,40.507569],[9.942832,40.42801],[9.862986,40.41935]]],[[[10.145243,39.239366],[10.20102,39.190056],[10.246398,39.230927],[10.212893,39.272808],[10.145243,39.239366]]]]}";ZN001;ZN;NOUVELLE-CALEDONIE;-;1;-
